         55880329 function calls (55871021 primitive calls) in 89.639 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      110    0.000    0.000    0.000    0.000 analysis.py:66(fix_point_progress)
       70    0.000    0.000    0.001    0.000 builder.py:717(alloca)
      172    0.000    0.000    0.000    0.000 functions.py:229(_unlit_non_poison)
       92    0.000    0.000    0.010    0.000 errors.py:198(__init__)
      370    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       46    0.000    0.000    0.001    0.000 abstract.py:60(__call__)
       10    0.000    0.000    0.002    0.000 agents.py:115(accounting)
       92    0.000    0.000    0.000    0.000 values.py:456(__init__)
       56    0.000    0.000    0.000    0.000 controlflow.py:394(_eliminate_dead_blocks)
        2    0.000    0.000    0.081    0.041 typed_passes.py:347(run_pass)
      240    0.000    0.000    0.000    0.000 ffi.py:250(__init__)
      132    0.000    0.000    0.000    0.000 numpy_support.py:386(<listcomp>)
       34    0.000    0.000    0.000    0.000 values.py:467(__init__)
      111    0.000    0.000    0.002    0.000 abs.py:57(_yclip)
       30    0.000    0.000    0.004    0.000 lowering.py:1262(storevar)
      152    0.000    0.000    0.000    0.000 builder.py:251(goto_block)
     46/2    0.000    0.000    0.118    0.059 compiler_lock.py:29(_acquire_compile_lock)
      111    0.000    0.000    0.003    0.000 abs.py:54(_xclip)
      210    0.000    0.000    0.000    0.000 types.py:116(__init__)
        1    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
       24    0.000    0.000    0.008    0.000 context.py:231(_resolve_user_function_type)
     56/4    0.000    0.000    0.001    0.000 pprint.py:163(_format)
       58    0.000    0.000    0.001    0.000 lowering.py:1325(decref)
       22    0.000    0.000    0.000    0.000 analysis.py:190(compute_live_variables)
      250    0.000    0.000    0.000    0.000 types.py:231(__eq__)
      750    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       92    0.000    0.000    0.000    0.000 module.py:138(add_global)
       30    0.000    0.000    0.000    0.000 api.py:952(_builtin_function_type)
      190    0.000    0.000    0.000    0.000 utils.py:377(stream_list)
       40    0.000    0.000    0.000    0.000 api.py:194(typeof)
      162    0.000    0.000    0.000    0.000 value.py:81(__init__)
       28    0.000    0.000    0.001    0.000 lowering.py:1286(delvar)
      184    0.000    0.000    0.000    0.000 ansitowin32.py:116(get_win32_calls)
      296    0.000    0.000    0.000    0.000 os.py:734(check_str)
      178    0.000    0.000    0.000    0.000 types.py:27(as_pointer)
       74    0.000    0.000    0.000    0.000 _utils.py:9(__init__)
      324    0.000    0.000    0.000    0.000 templates.py:355(<genexpr>)
       62    0.000    0.000    0.000    0.000 context.py:248(_get_attribute_templates)
       56    0.000    0.000    0.000    0.000 inspect.py:2477(__init__)
  148/140    0.000    0.000    0.000    0.000 types.py:127(__eq__)
      130    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       44    0.000    0.000    0.000    0.000 analysis.py:81(def_reach)
      128    0.000    0.000    0.000    0.000 values.py:182(__hash__)
       14    0.000    0.000    0.001    0.000 inspect.py:2206(_signature_from_callable)
        2    0.000    0.000    0.008    0.004 callwrapper.py:126(build_wrapper)
      128    0.000    0.000    0.000    0.000 values.py:813(_format_name)
       30    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
      368    0.000    0.000    0.000    0.000 iostream.py:319(closed)
       20    0.000    0.000    0.011    0.001 typeinfer.py:684(__call__)
       60    0.000    0.000    0.000    0.000 ir.py:845(__str__)
        8    0.000    0.000    0.002    0.000 callconv.py:542(call_function)
       64    0.000    0.000    0.000    0.000 context.py:441(_lookup_global)
        2    0.000    0.000    0.001    0.000 byteflow.py:78(run)
       90    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        8    0.000    0.000    0.003    0.000 boxing.py:44(unbox_integer)
       66    0.000    0.000    0.000    0.000 compiler_machinery.py:179(_validate_pass)
       56    0.000    0.000    0.001    0.000 builder.py:805(branch)
       34    0.000    0.000    0.000    0.000 values.py:479(descr)
       48    0.000    0.000    0.000    0.000 warnings.py:458(__enter__)
       92    0.000    0.000    0.000    0.000 errors.py:211(__init__)
      116    0.000    0.000    0.001    0.000 builder.py:235(append_basic_block)
       11    0.000    0.000    0.000    0.000 agents.py:18(__init__)
      411    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       26    0.000    0.000    0.000    0.000 ir.py:1205(find_exprs)
       46    0.000    0.000    0.000    0.000 abstract.py:48(_intern)
       54    0.000    0.000    0.000    0.000 ntpath.py:124(splitdrive)
      174    0.000    0.000    0.001    0.000 values.py:637(<genexpr>)
       68    0.000    0.000    0.000    0.000 numpy_support.py:324(_ufunc_loop_sig)
      184    0.000    0.000    0.000    0.000 {method 'isatty' of '_io._IOBase' objects}
        2    0.000    0.000    0.001    0.000 inline_closurecall.py:1314(_inline_const_arraycall)
      220    0.000    0.000    0.000    0.000 compiler_machinery.py:402(is_registered)
      203    0.000    0.000    0.000    0.000 agents.py:286(supply)
      382    0.000    0.000    0.000    0.000 compiler.py:272(__getattr__)
        5    0.000    0.000    0.000    0.000 graph_abs.py:130(<listcomp>)
      437    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       58    0.000    0.000    0.000    0.000 values.py:577(__repr__)
       16    0.000    0.000    0.010    0.001 module.py:212(<listcomp>)
       52    0.000    0.000    0.000    0.000 builder.py:813(cbranch)
      208    0.000    0.000    0.000    0.000 builder.py:191(function)
      132    0.000    0.000    0.000    0.000 compiler_machinery.py:25(__exit__)
       30    0.000    0.000    0.018    0.001 lowering.py:492(lower_assign)
        2    0.000    0.000    0.001    0.000 ir.py:1249(dump)
       78    0.000    0.000    0.002    0.000 core.py:161(get_or_insert_function)
       84    0.000    0.000    0.010    0.000 errors.py:290(errmsg)
        8    0.000    0.000    0.001    0.000 types.py:33(_get_ll_pointer_type)
       88    0.000    0.000    0.000    0.000 values.py:173(__eq__)
        6    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
       80    0.000    0.000    0.000    0.000 instructions.py:113(<listcomp>)
       21    0.000    0.000    0.000    0.000 agents.py:196(remove_mate)
      484    0.000    0.000    0.000    0.000 analysis.py:40(<genexpr>)
       30    0.000    0.000    0.004    0.000 templates.py:266(_select)
       88    0.000    0.000    0.000    0.000 functions.py:295(<listcomp>)
      312    0.000    0.000    0.000    0.000 context.py:21(__init__)
       44    0.000    0.000    0.000    0.000 analysis.py:71(fix_point)
       48    0.000    0.000    0.000    0.000 warnings.py:181(_add_filter)
      411    0.000    0.000    0.000    0.000 {method 'count' of 'list' objects}
