         20998046 function calls (20938228 primitive calls) in 12.695 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4069    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      222    0.000    0.000    0.004    0.000 fromnumeric.py:39(_wrapit)
        8    0.000    0.000    0.004    0.000 ssa.py:154(_run_block_rewrite)
      108    0.000    0.000    0.001    0.000 npydecl.py:24(_handle_inputs)
     2074    0.000    0.000    0.001    0.000 templates.py:355(<genexpr>)
      116    0.000    0.000    0.002    0.000 controlflow.py:394(_eliminate_dead_blocks)
      332    0.000    0.000    0.009    0.000 cgutils.py:858(gep_inbounds)
     1012    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(can_cast)
     1020    0.000    0.000    0.001    0.000 util.py:46(new_month)
      158    0.000    0.000    0.018    0.000 context.py:360(resolve_value_type)
       37    0.000    0.000    0.004    0.000 ir.py:1249(dump)
     1328    0.000    0.000    0.001    0.000 types.py:231(__eq__)
      770    0.000    0.000    0.001    0.000 builder.py:251(goto_block)
      520    0.000    0.000    0.003    0.000 instructions.py:162(__init__)
      668    0.000    0.000    0.001    0.000 ansitowin32.py:55(closed)
      733    0.000    0.000    0.001    0.000 ir.py:685(__init__)
      357    0.000    0.000    0.003    0.000 ir.py:845(__str__)
      156    0.000    0.000    0.001    0.000 values.py:467(__init__)
  229/226    0.000    0.000    0.002    0.000 typeinfer.py:1077(add_type)
      295    0.000    0.000    0.000    0.000 warnings.py:458(__enter__)
      544    0.000    0.000    0.002    0.000 module.py:213(__next__)
      222    0.000    0.000    0.003    0.000 _methods.py:106(_clip)
       14    0.000    0.000    0.012    0.001 nrtopt.py:47(_process_function)
      352    0.000    0.000    0.001    0.000 ir.py:1476(get_definition)
      337    0.000    0.000    0.004    0.000 models.py:615(get)
   289/12    0.000    0.000    0.004    0.000 pprint.py:163(_format)
      287    0.000    0.000    0.001    0.000 values.py:456(__init__)
      149    0.000    0.000    0.032    0.000 errors.py:473(__init__)
       18    0.000    0.000    0.027    0.002 lowering.py:562(lower_binop)
      426    0.000    0.000    0.001    0.000 instructions.py:113(<listcomp>)
      379    0.000    0.000    0.002    0.000 instructions.py:515(<listcomp>)
      236    0.000    0.000    0.001    0.000 types.py:418(wrap_constant_value)
     1500    0.000    0.000    0.000    0.000 graph_abs.py:166(<lambda>)
      604    0.000    0.000    0.001    0.000 controlflow.py:593(push_state)
      725    0.000    0.000    0.000    0.000 lowering.py:262(typeof)
      666    0.000    0.000    0.000    0.000 {built-in method numpy.array}
      950    0.000    0.000    0.000    0.000 ffi.py:250(__init__)
      291    0.000    0.000    0.001    0.000 value.py:206(is_declaration)
     1376    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       50    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
      444    0.000    0.000    0.001    0.000 fromnumeric.py:3075(ndim)
   123/69    0.000    0.000    0.246    0.004 context.py:231(_resolve_user_function_type)
      211    0.000    0.000    0.002    0.000 byteflow.py:260(dispatch)
     1059    0.000    0.000    0.000    0.000 ffi.py:267(detach)
      110    0.000    0.000    0.003    0.000 context.py:165(meminfo_data)
      397    0.000    0.000    0.001    0.000 values.py:716(_to_list)
      173    0.000    0.000    0.075    0.000 lowering.py:492(lower_assign)
      760    0.000    0.000    0.000    0.000 types.py:553(__eq__)
